央视,#genre#
风云音乐,http://www.yiyibest.com:7777/udp/239.49.8.92:8000
风云足球,http://www.yiyibest.com:7777/udp/239.49.8.85:8000
高尔夫网球,http://www.yiyibest.com:7777/udp/239.49.9.7:6000
怀旧剧场,http://www.yiyibest.com:7777/udp/239.49.8.91:8000
央视台球,http://www.yiyibest.com:7777/udp/239.49.8.32:8000
女性时尚,http://www.yiyibest.com:7777/udp/239.49.8.93:8000
世界地理,http://www.yiyibest.com:7777/udp/239.49.8.87:8000
文化精品,http://www.yiyibest.com:7777/udp/239.49.1.66:6000
第一财经,http://www.yiyibest.com:7777/udp/239.49.8.37:8000
地方,#genre#
江苏公共新闻,http://www.yiyibest.com:7777/udp/239.49.8.120:8000
江苏城市,http://www.yiyibest.com:7777/udp/239.49.8.107:8000
江苏教育,http://www.yiyibest.com:7777/udp/239.49.8.122:8000
江苏体育休闲,http://www.yiyibest.com:7777/udp/239.49.8.117:8000
江苏影视,http://www.yiyibest.com:7777/udp/239.49.8.118:8000
江苏综艺,http://www.yiyibest.com:7777/udp/239.49.8.108:8000
优漫卡通,http://www.yiyibest.com:7777/udp/239.49.8.119:8000
生活时尚,http://www.yiyibest.com:7777/udp/239.49.8.175:6000
动漫秀场,http://www.yiyibest.com:7777/udp/239.49.8.178:6000
全纪实,http://www.yiyibest.com:7777/udp/239.49.8.179:6000
都市剧场,http://www.yiyibest.com:7777/udp/239.49.8.180:6000
魅力足球,http://www.yiyibest.com:7777/udp/239.49.8.181:6000
欢笑剧场,http://www.yiyibest.com:7777/udp/239.49.8.182:6000
金鹰纪实,http://www.yiyibest.com:7777/udp/239.49.8.79:8000
金鹰卡通,http://www.yiyibest.com:7777/udp/239.49.8.33:8000
梨园频道,http://www.yiyibest.com:7777/udp/239.49.9.61:6000
武术世界,http://www.yiyibest.com:7777/udp/239.49.9.62:6000
文物宝库,http://www.yiyibest.com:7777/udp/239.49.9.63:6000
测试,#genre#
64,http://www.yiyibest.com:7777/udp/239.49.9.64:6000
65,http://www.yiyibest.com:7777/udp/239.49.9.65:6000
66,http://www.yiyibest.com:7777/udp/239.49.9.66:6000
67,http://www.yiyibest.com:7777/udp/239.49.9.67:6000
68,http://www.yiyibest.com:7777/udp/239.49.9.68:6000
69,http://www.yiyibest.com:7777/udp/239.49.9.69:6000
70,http://www.yiyibest.com:7777/udp/239.49.9.70:6000
71,http://www.yiyibest.com:7777/udp/239.49.9.71:6000
72,http://www.yiyibest.com:7777/udp/239.49.9.72:6000
73,http://www.yiyibest.com:7777/udp/239.49.9.73:6000
74,http://www.yiyibest.com:7777/udp/239.49.9.74:6000
75,http://www.yiyibest.com:7777/udp/239.49.9.75:6000
76,http://www.yiyibest.com:7777/udp/239.49.9.76:6000
77,http://www.yiyibest.com:7777/udp/239.49.9.77:6000
78,http://www.yiyibest.com:7777/udp/239.49.9.78:6000
79,http://www.yiyibest.com:7777/udp/239.49.9.79:6000
80,http://www.yiyibest.com:7777/udp/239.49.9.80:6000
81,http://www.yiyibest.com:7777/udp/239.49.9.81:6000
82,http://www.yiyibest.com:7777/udp/239.49.9.82:6000
83,http://www.yiyibest.com:7777/udp/239.49.9.83:6000
84,http://www.yiyibest.com:7777/udp/239.49.9.84:6000
85,http://www.yiyibest.com:7777/udp/239.49.9.85:6000
86,http://www.yiyibest.com:7777/udp/239.49.9.86:6000
87,http://www.yiyibest.com:7777/udp/239.49.9.87:6000
88,http://www.yiyibest.com:7777/udp/239.49.9.88:6000
