央视,#genre#
四川科教 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/SCTV-ggSCTV-8_4000.m3u8
四川乡村 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/SCTV-kjSCTV-9-_4000.m3u8
四川峨嵋电影 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/emdygqH265_4000.m3u8
四川影视文艺 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/SCTV-5-scysH265_4000.m3u8
四川文化旅游 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/SCTV-3-H265_4000.m3u8
四川妇女儿童 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/SCTV-7-_4000.m3u8
4K超高清电影 4K,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/emdy4k_8000.m3u8
CHC家庭影院 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/jbtygqCHCjtyyH265_4000.m3u8
CHC高清电影 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/lnwsCHC-HDH265_4000.m3u8
CHC动作电影 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/wqCHCdzdyH265_4000.m3u8
CBN每日影院 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/mryy_4000.m3u8
CBN幸福剧场 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/xfjc_4000.m3u8
CBN幸福娱乐 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/xfyl_4000.m3u8
CBN风尚生活 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/fssh_4000.m3u8
新视觉 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/ycxsjH265_4000.m3u8
乐游 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/qjs-HDH265_4000.m3u8
东方财经 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/dfcj_4000.m3u8
金色学堂 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/jspd_4000.m3u8
都市剧场 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/yxfydsjcHDH265_4000.m3u8
动漫秀场 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/yybb-dmxc-H265_4000.m3u8
劲爆体育 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/lqhxjcHDH265_4000.m3u8
魅力足球 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/mlyy_4000.m3u8
生活时尚 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/shssH265_4000.m3u8
法治天地 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/fztx_4000.m3u8
欢笑剧场 4K,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/hxjc-4k_8000.m3u8
甘孜综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/gzxwzh_2000.m3u8
剑阁综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/jgxwzhH265_4000.m3u8
峨眉综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/emsxw_2000.m3u8
平昌综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/pcxw_2000.m3u8
宣汉综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/xhxwzh_2000.m3u8
新都综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/xdzhpd_2000.m3u8
利州综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/lzxwzh_2000.m3u8
彭州综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/pzxwzh_2000.m3u8
庐山综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/lszh_2000.m3u8
彭山综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/pszh_2000.m3u8
船山综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/csxw_2000.m3u8
屏山综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/psxwzh_2000.m3u8
南充综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/ncxwzh_2000.m3u8
南充公共 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/ncgg_4000.m3u8
西充综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/xczh_2000.m3u8
朝天综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/ctxwzh_2000.m3u8
宝兴综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/bxdst_2000.m3u8
昭化综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/zhxwzh_2000.m3u8
北川综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/bcxwHD_2000.m3u8
沐川综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/mcxw_2000.m3u8
通江综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/tjxwH265_4000.m3u8
蒲江综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/pjxw_4000.m3u8
米易综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/myxwzh_2000.m3u8
马边综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/mbxwzh_2000.m3u8
涪城综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/fcgq_2000.m3u8
荣县综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/rxzh_2000.m3u8
青神综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/qszh_2000.m3u8
越西综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/yxt_4000.m3u8
崇州综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/czyt_4000.m3u8
邛崃综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/qlds1t_2000.m3u8
温江综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/wjytH264_2000.m3u8
梓潼综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/ztgq_2000.m3u8
平武综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/pwgq_4000.m3u8
安州综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/azgq_2000.m3u8
盐亭综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/ytzh_2000.m3u8
三台综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/stxwHD_2000.m3u8
苍溪综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/cxxwgqH265_4000.m3u8
峨边综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/ebdst_2000.m3u8
旺苍综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/wcxwzhH265_4000.m3u8
长宁综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/znzh_2000.m3u8
资中综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/zzzh_2000.m3u8
隆昌综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/lcxw_2000.m3u8
安岳综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/ayxwzh_4000.m3u8
泸定综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/ldxw_4000.m3u8
松潘综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/spxwzhpdH264_2000.m3u8
中江综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/zjxwzh_2000.m3u8
南溪综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/nxt_2000.m3u8
阿坝综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/abxwzhpdgq_2000.m3u8
阿坝文艺 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/wypdgqH265_4000.m3u8
眉山综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/msxwzhgq_2000.m3u8
眉山公共 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/msgg_2000.m3u8
恩阳新闻 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/eyxw_2000.m3u8
天泉新闻 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/tqzh_2000.m3u8
珙县新闻 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/gxzh_2000.m3u8
仁和新闻 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/rhxwH264_2000.m3u8
巴州电视 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/bzxw_4000.m3u8
金口河综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/jkhdst_2000.m3u8
青白江综合 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/qbjxwzh_2000.m3u8
大邑电视台 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/dyytH265_4000.m3u8
兴文电视台 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/xwt_2000.m3u8
荥经电视台 高清,http://[240e:978:905:5011::25]/livehkkp.chinamcache.com/live/xjdst_2000.m3u8
